21:50,54.9,1108.6,925.2,1191.6
22,54.0,1109.8,925.1,1176.9
22:10,53.6,1099.0,917.0,1175.5
22:20,53.4,1097.4,910.2,1161.7
22:30,54.1,1068.6,920.9,1152.4
22:40,51.8,1073.7,900.9,1152.9
22:50,51.3,1079.6,910.4,1135.8
23,51.9,1062.5,906.1,1123.2
23:10,50.8,1057.4,905.0,1113.4
23:20,50.8,1064.9,893.0,1104.2
23:30,50.6,1055.7,893.2,1099.5
23:40,50.5,1051.4,886.9,1079.6
23:50,49.3,1034.9,878.6,1078.2
