datetime,gen_north,load_north,gen_central,load_central,gen_south,load_south,gen_east,load_east
2024-07-31 00:00,908.5,1036.3,1038.2,885.4,1030.3,1023.1,9.2,41.5
2024-07-31 00:10,928.9,1038.7,1023.2,868.5,1004.2,1017.1,9.1,41.1
2024-07-31 00:20,942.2,1036.0,1018.9,871.8,1001.7,1023.6,9.4,40.8
2024-07-31 00:30,944.5,1025.7,997.2,863.7,994.7,1015.2,9.5,41.4
2024-07-31 00:40,948.3,1016.5,970.7,862.9,1002.3,1011.3,9.6,40.2
2024-07-31 00:50,949.3,1001.3,943.0,860.6,1009.5,1009.2,9.4,40.1
2024-07-31 01:00,944.4,987.2,935.1,850.0,990.9,1002.3,9.8,40.7
2024-07-31 01:10,916.1,976.6,914.9,845.0,1029.9,1009.1,9.5,39.6
2024-07-31 01:20,916.8,964.7,889.8,847.1,1042.4,1007.9,9.3,38.7
2024-07-31 01:30,920.1,966.0,883.9,850.7,1040.7,998.7,9.1,38.5
2024-07-31 01:40,915.1,959.4,880.4,834.0,1012.9,985.2,9.3,39.1
2024-07-31 01:50,914.2,950.2,869.2,830.1,1009.5,983.0,9.4,38.8
2024-07-31 02:00,911.9,953.4,862.7,829.5,1002.0,964.8,9.3,38.2
2024-07-31 02:10,909.3,951.4,857.4,821.9,999.9,964.0,9.5,38.9
2024-07-31 02:20,910.3,940.0,846.1,821.7,997.1,962.4,9.5,38.9
2024-07-31 02:30,910.1,942.4,836.9,801.2,982.4,956.8,9.4,38.5
2024-07-31 02:40,913.6,939.1,842.6,822.3,990.2,956.2,9.7,38.4
2024-07-31 02:50,920.3,934.6,802.8,816.9,1003.2,946.4,9.7,38.0
2024-07-31 03:00,915.2,919.0,794.4,807.6,1004.2,958.8,9.5,37.9
2024-07-31 03:10,913.6,918.5,785.1,800.5,999.6,950.8,9.4,38.0
2024-07-31 03:20,901.1,913.7,773.6,796.9,999.1,935.2,9.6,37.7
2024-07-31 03:30,914.6,920.9,770.2,802.5,999.9,933.2,9.6,37.6
2024-07-31 03:40,914.9,913.4,767.5,791.3,984.1,933.7,9.6,37.7
2024-07-31 03:50,910.5,913.6,762.2,792.7,989.6,928.6,9.4,36.7
2024-07-31 04:00,905.7,906.4,764.3,801.9,1003.1,937.2,9.4,37.0
2024-07-31 04:10,900.4,914.3,760.9,784.4,989.3,924.6,9.2,36.6
2024-07-31 04:20,898.7,899.0,765.7,797.8,990.2,930.6,9.1,36.4
2024-07-31 04:30,873.5,901.4,772.1,783.0,988.6,922.7,9.5,36.6
2024-07-31 04:40,884.7,897.6,765.5,789.9,985.5,921.0,9.6,36.9
2024-07-31 04:50,904.8,896.4,737.7,789.0,986.1,916.2,9.8,36.9
2024-07-31 05:00,907.2,894.2,735.0,782.6,983.9,922.0,9.7,36.9
2024-07-31 05:10,915.9,904.2,733.1,797.8,996.1,916.0,9.6,36.7
2024-07-31 05:20,913.6,895.0,730.3,791.9,995.4,925.4,9.6,36.6
2024-07-31 05:30,914.3,896.2,731.5,794.0,984.6,913.8,9.6,36.0
2024-07-31 05:40,912.2,899.8,730.1,781.4,971.5,906.1,9.7,36.4
2024-07-31 05:50,904.8,901.4,728.6,782.1,981.9,905.7,9.8,35.9
2024-07-31 06:00,902.3,909.0,737.2,779.6,988.8,913.4,9.9,36.1
2024-07-31 06:10,897.2,900.9,738.3,790.2,994.1,912.1,10.4,36.8
2024-07-31 06:20,909.6,907.2,724.8,791.3,1005.9,917.2,11.0,35.7
2024-07-31 06:30,906.0,916.2,722.1,798.7,1020.8,909.2,11.5,36.4
2024-07-31 06:40,899.1,932.6,727.7,796.2,1036.9,909.1,11.6,37.5
2024-07-31 06:50,884.1,939.0,739.4,806.5,1057.2,910.2,12.7,37.7
2024-07-31 07:00,890.5,957.7,741.5,800.1,1083.2,933.5,13.1,37.0
2024-07-31 07:10,922.0,985.5,729.5,812.4,1107.2,935.7,13.9,39.0
2024-07-31 07:20,925.6,1010.3,732.5,813.8,1136.5,945.8,14.7,39.4
2024-07-31 07:30,923.1,1029.4,753.9,820.5,1163.2,967.0,14.8,38.0
2024-07-31 07:40,940.6,1055.7,765.8,842.3,1192.7,977.8,15.7,39.1
2024-07-31 07:50,954.7,1083.9,802.8,874.3,1234.0,1009.9,16.7,40.1
2024-07-31 08:00,957.8,1132.0,854.5,894.1,1269.8,1032.4,17.8,41.5
2024-07-31 08:10,968.5,1179.6,965.4,945.4,1305.4,1089.9,18.1,42.6
2024-07-31 08:20,973.2,1198.8,1009.6,960.3,1312.4,1112.5,19.5,43.0
2024-07-31 08:30,967.2,1230.3,1033.6,964.2,1338.4,1120.7,20.3,44.2
2024-07-31 08:40,971.7,1250.7,1057.7,978.8,1371.6,1147.5,20.4,44.4
2024-07-31 08:50,991.7,1273.0,1063.4,983.1,1384.6,1158.0,21.0,46.6
2024-07-31 09:00,992.8,1286.7,1068.3,990.0,1410.1,1168.0,22.1,48.6
2024-07-31 09:10,990.1,1311.1,1076.3,1004.4,1439.2,1164.1,22.2,48.1
2024-07-31 09:20,1002.4,1310.5,1078.6,1003.0,1450.7,1192.6,23.3,48.9
2024-07-31 09:30,1025.4,1319.7,1051.4,1005.0,1465.1,1192.3,23.3,48.3
2024-07-31 09:40,1031.2,1322.3,1051.7,1013.7,1483.4,1206.1,24.6,48.7
2024-07-31 09:50,1032.2,1339.1,1056.3,1012.8,1500.0,1212.3,24.1,48.5
2024-07-31 10:00,1037.5,1346.5,1087.8,1022.2,1502.9,1234.0,24.4,50.0
2024-07-31 10:10,1056.3,1372.6,1097.0,1023.3,1494.3,1225.5,23.8,50.0
2024-07-31 10:20,1057.1,1393.7,1116.3,1031.4,1491.5,1211.7,21.7,49.8
2024-07-31 10:30,1059.8,1397.5,1128.6,1039.1,1494.9,1216.5,23.3,53.6
2024-07-31 10:40,1060.8,1399.8,1131.6,1035.5,1532.4,1259.0,23.9,54.5
2024-07-31 10:50,1059.6,1411.2,1145.0,1048.9,1547.4,1264.2,23.8,51.5
2024-07-31 11:00,1064.0,1425.4,1149.9,1052.7,1522.4,1231.5,20.8,47.6
2024-07-31 11:10,1067.8,1421.6,1153.4,1062.4,1541.4,1250.2,21.4,49.7
2024-07-31 11:20,1069.0,1430.7,1157.1,1060.6,1563.5,1270.5,22.5,50.3
2024-07-31 11:30,1070.3,1432.6,1150.9,1058.7,1557.8,1256.8,22.0,52.9
2024-07-31 11:40,1078.5,1437.9,1143.3,1064.9,1574.3,1259.2,24.4,58.5
2024-07-31 11:50,1080.8,1442.0,1140.5,1047.3,1562.3,1263.5,22.0,52.8
2024-07-31 12:00,1083.9,1425.5,1083.2,1026.2,1566.8,1254.1,23.9,52.0
2024-07-31 12:10,1080.4,1422.9,1074.4,999.6,1531.9,1236.0,24.1,52.4
2024-07-31 12:20,1082.9,1425.5,1056.0,993.0,1552.0,1242.5,20.8,50.7
2024-07-31 12:30,1085.0,1435.2,1082.0,1012.5,1543.6,1235.7,20.9,48.2
2024-07-31 12:40,1082.0,1438.5,1090.9,1012.1,1534.9,1229.4,21.7,49.5
2024-07-31 12:50,1074.0,1425.7,1062.2,1003.7,1552.9,1228.1,24.3,56.0
2024-07-31 13:00,1080.9,1431.6,1069.6,1009.2,1559.1,1240.1,22.7,51.5
