datetime,gen_north,load_north,gen_central,load_central,gen_south,load_south,gen_east,load_east
2024-07-20 00:00,986.2,1138.7,1098.0,958.0,1196.8,1137.9,4.9,51.3
2024-07-20 00:10,980.6,1141.0,1119.9,958.3,1172.1,1127.7,4.9,50.5
2024-07-20 00:20,987.7,1139.4,1127.3,960.3,1162.4,1131.6,4.9,51.0
2024-07-20 00:30,985.1,1131.9,1118.2,951.6,1151.7,1126.2,5.1,50.2
2024-07-20 00:40,980.6,1120.0,1103.3,938.6,1148.5,1129.0,5.0,49.8
2024-07-20 00:50,978.4,1113.3,1083.3,930.5,1148.5,1122.2,4.9,49.2
2024-07-20 01:00,969.9,1112.0,1084.9,933.5,1148.8,1113.9,4.7,48.9
2024-07-20 01:10,931.9,1096.6,1109.9,937.5,1152.5,1116.3,4.6,48.4
2024-07-20 01:20,913.6,1082.8,1092.7,928.6,1150.1,1101.4,4.6,48.2
2024-07-20 01:30,913.0,1081.7,1069.3,927.8,1149.6,1079.3,4.7,47.8
2024-07-20 01:40,910.6,1070.1,1044.8,906.0,1147.4,1083.6,4.8,47.9
2024-07-20 01:50,909.9,1066.0,1033.3,903.0,1148.9,1081.0,4.7,47.1
2024-07-20 02:00,910.8,1043.4,1004.9,904.1,1145.0,1070.7,4.8,47.1
2024-07-20 02:10,912.2,1039.3,1000.4,904.7,1149.9,1076.6,4.8,46.8
2024-07-20 02:20,911.4,1039.9,998.8,902.8,1146.1,1072.1,4.6,46.1
2024-07-20 02:30,912.5,1028.1,960.1,877.1,1138.7,1065.3,4.7,45.5
2024-07-20 02:40,918.5,1018.0,941.9,882.4,1145.7,1064.5,4.8,46.0
2024-07-20 02:50,907.3,1009.3,925.1,873.2,1130.7,1040.5,5.0,45.2
2024-07-20 03:00,916.4,1001.7,911.7,877.2,1136.9,1045.6,4.9,45.3
2024-07-20 03:10,908.8,996.3,908.9,866.9,1133.8,1047.9,4.7,45.2
2024-07-20 03:20,908.8,999.6,901.2,859.2,1125.7,1037.2,5.1,44.8
